utterance_id,utterance,speaker,utterance_intent,cr_directed_at,source_of_response,grounding_modality,group_id,task_id,__source,turn_index,dialogue_id,master_utterance_id,prev_speaker,prev_turn,prev2_turn,system_event,sys_to_user_transition
1,"So Okay, for COVID-19 outbreaks.",U1,N,na,na,na,10,2,group10_task2.xlsx,0,10_2,10_2_U1,,,,0,0
2,Uh so what are the risk factors for COVID-19 outbreaks?,U1,N,na,na,na,10,2,group10_task2.xlsx,1,10_2,10_2_U2,U1,"So Okay, for COVID-19 outbreaks.",,0,0
3,Uh definitely as we said before like big cities So urban areas.,U1,N,na,na,na,10,2,group10_task2.xlsx,2,10_2,10_2_U3,U1,Uh so what are the risk factors for COVID-19 outbreaks?,"So Okay, for COVID-19 outbreaks.",0,0
4,Yeah.,U2,N,na,na,na,10,2,group10_task2.xlsx,3,10_2,10_2_U4,U1,Uh definitely as we said before like big cities So urban areas.,Uh so what are the risk factors for COVID-19 outbreaks?,0,0
5,"Okay, so can we see a chart about urban areas in US?",U2,VR,na,na,na,10,2,group10_task2.xlsx,4,10_2,10_2_U5,U2,Yeah.,Uh definitely as we said before like big cities So urban areas.,0,0
6,"Ati, can we see a map of the urban areas in the US?",U2,VR,na,na,na,10,2,group10_task2.xlsx,5,10_2,10_2_U6,U2,"Okay, so can we see a chart about urban areas in US?",Yeah.,0,0
7,"Maybe louder, I don't know.",U1,N,na,na,na,10,2,group10_task2.xlsx,6,10_2,10_2_U7,U2,"Ati, can we see a map of the urban areas in the US?","Okay, so can we see a chart about urban areas in US?",0,0
8,Uh can we see a map about county type?,U2,VR,na,na,na,10,2,group10_task2.xlsx,7,10_2,10_2_U8,U1,"Maybe louder, I don't know.","Ati, can we see a map of the urban areas in the US?",0,0
9,Map of county type,S,NS,na,na,na,10,2,group10_task2.xlsx,8,10_2,10_2_U9,U2,Uh can we see a map about county type?,"Maybe louder, I don't know.",0,0
10,Okay.,U1,N,na,na,na,10,2,group10_task2.xlsx,9,10_2,10_2_U10,S,Map of county type,Uh can we see a map about county type?,1,1
11,Uh so urban.,U1,N,na,na,na,10,2,group10_task2.xlsx,10,10_2,10_2_U11,U1,Okay.,Map of county type,0,0
12,"Yeah, so the urban are the pink ones.",U1,N,na,na,na,10,2,group10_task2.xlsx,11,10_2,10_2_U12,U1,Uh so urban.,Okay.,0,0
13,"Okay, so there's definitely more cities in the Pacific and then in the Northeast.",U2,N,na,na,na,10,2,group10_task2.xlsx,12,10_2,10_2_U13,U1,"Yeah, so the urban are the pink ones.",Uh so urban.,0,0
14,Yeah.,U1,N,na,na,na,10,2,group10_task2.xlsx,13,10_2,10_2_U14,U2,"Okay, so there's definitely more cities in the Pacific and then in the Northeast.","Yeah, so the urban are the pink ones.",0,0
15,Also on the coast.,U1,N,na,na,na,10,2,group10_task2.xlsx,14,10_2,10_2_U15,U1,Yeah.,"Okay, so there's definitely more cities in the Pacific and then in the Northeast.",0,0
16,"Yes, and the cities uh maybe were the the ones that uh were more at risk.",U2,N,na,na,na,10,2,group10_task2.xlsx,15,10_2,10_2_U16,U1,Also on the coast.,Yeah.,0,0
17,And uh another fact that we can consider is um I don't know.... ,U2,N,na,na,na,10,2,group10_task2.xlsx,16,10_2,10_2_U17,U2,"Yes, and the cities uh maybe were the the ones that uh were more at risk.",Also on the coast.,0,0
18,"Okay, yes.",U1,N,na,na,na,10,2,group10_task2.xlsx,17,10_2,10_2_U18,U2,And uh another fact that we can consider is um I don't know.... ,"Yes, and the cities uh maybe were the the ones that uh were more at risk.",0,0
19,Can we see a map of access to doctors?,U2,VR,na,na,na,10,2,group10_task2.xlsx,18,10_2,10_2_U19,U1,"Okay, yes.",And uh another fact that we can consider is um I don't know.... ,0,0
20,Maybe we'll okay.,U1,N,na,na,na,10,2,group10_task2.xlsx,19,10_2,10_2_U20,U2,Can we see a map of access to doctors?,"Okay, yes.",0,0
21,"We can uh Yeah, we have an old one.",U1,N,na,na,na,10,2,group10_task2.xlsx,20,10_2,10_2_U21,U1,Maybe we'll okay.,Can we see a map of access to doctors?,0,0
22,Yes.,U2,N,na,na,na,10,2,group10_task2.xlsx,21,10_2,10_2_U22,U1,"We can uh Yeah, we have an old one.",Maybe we'll okay.,0,0
23,Okay.,U2,N,na,na,na,10,2,group10_task2.xlsx,22,10_2,10_2_U23,U2,Yes.,"We can uh Yeah, we have an old one.",0,0
24,Which I think is not very expressive.,U1,N,na,na,na,10,2,group10_task2.xlsx,23,10_2,10_2_U24,U2,Okay.,Yes.,0,0
25,"Um Also, okay, African American population.",U1,VR,na,na,na,10,2,group10_task2.xlsx,24,10_2,10_2_U25,U1,Which I think is not very expressive.,Okay.,0,0
26,Um So we can try combinations?,U1,CR,System/User,I,K,10,2,group10_task2.xlsx,25,10_2,10_2_U26,U1,"Um Also, okay, African American population.",Which I think is not very expressive.,0,0
27,Yes.,U2,N,na,na,na,10,2,group10_task2.xlsx,26,10_2,10_2_U27,U1,Um So we can try combinations?,"Um Also, okay, African American population.",0,0
28,Uh So which are the interesting combinations do you think?,U1,N,na,na,na,10,2,group10_task2.xlsx,27,10_2,10_2_U28,U2,Yes.,Um So we can try combinations?,0,0
29,"Um I think that we can see uh a map Yeah, urban with um high vulnerability high Covid vulnerability.",U2,Vis,na,na,na,10,2,group10_task2.xlsx,28,10_2,10_2_U29,U1,Uh So which are the interesting combinations do you think?,Yes.,0,0
30,"the same, same.",U1,N,na,na,na,10,2,group10_task2.xlsx,29,10_2,10_2_U30,U2,"Um I think that we can see uh a map Yeah, urban with um high vulnerability high Covid vulnerability.",Uh So which are the interesting combinations do you think?,0,0
31,Okay so can we see a map about urban areas with high Covid vulnerability rank?,U2,VR,na,na,na,10,2,group10_task2.xlsx,30,10_2,10_2_U31,U1,"the same, same.","Um I think that we can see uh a map Yeah, urban with um high vulnerability high Covid vulnerability.",0,0
32,Um I think.,U1,N,na,na,na,10,2,group10_task2.xlsx,31,10_2,10_2_U32,U2,Okay so can we see a map about urban areas with high Covid vulnerability rank?,"the same, same.",0,0
33,Uh can we see urban areas with a very high Covid vulnerability rank?,U1,VR,na,na,na,10,2,group10_task2.xlsx,32,10_2,10_2_U33,U1,Um I think.,Okay so can we see a map about urban areas with high Covid vulnerability rank?,0,0
34,Let's try just uh can we see uh a map of the Midwest of the urban areas in the Midwest?,U1,VR,na,na,na,10,2,group10_task2.xlsx,33,10_2,10_2_U34,U1,Uh can we see urban areas with a very high Covid vulnerability rank?,Um I think.,0,0
35,Uh Can we see a map of uh urban areas with high vulnerability rank Covid?,U2,VR,na,na,na,10,2,group10_task2.xlsx,34,10_2,10_2_U35,U1,Let's try just uh can we see uh a map of the Midwest of the urban areas in the Midwest?,Uh can we see urban areas with a very high Covid vulnerability rank?,0,0
36,Do you have a map of urban areas with high Covid vulnerability rank?,U2,VR,na,na,na,10,2,group10_task2.xlsx,35,10_2,10_2_U36,U2,Uh Can we see a map of uh urban areas with high vulnerability rank Covid?,Let's try just uh can we see uh a map of the Midwest of the urban areas in the Midwest?,0,0
37,Uh can you show me a bar chart of urban with very high Covid vulnerability rank?,U1,VR,na,na,na,10,2,group10_task2.xlsx,36,10_2,10_2_U37,U2,Do you have a map of urban areas with high Covid vulnerability rank?,Uh Can we see a map of uh urban areas with high vulnerability rank Covid?,0,0
38,"Oh, I don't know how to ask him.",U1,N,na,na,na,10,2,group10_task2.xlsx,37,10_2,10_2_U38,U1,Uh can you show me a bar chart of urban with very high Covid vulnerability rank?,Do you have a map of urban areas with high Covid vulnerability rank?,0,0
39,Um Uh can we see a map of Covid vulnerability rank?,U2,VR,na,na,na,10,2,group10_task2.xlsx,38,10_2,10_2_U39,U1,"Oh, I don't know how to ask him.",Uh can you show me a bar chart of urban with very high Covid vulnerability rank?,0,0
40,Map of covid vulnerability rank,S,NS,na,na,na,10,2,group10_task2.xlsx,39,10_2,10_2_U40,U2,Um Uh can we see a map of Covid vulnerability rank?,"Oh, I don't know how to ask him.",0,0
41,Maybe louder.,U1,N,na,na,na,10,2,group10_task2.xlsx,40,10_2,10_2_U41,S,Map of covid vulnerability rank,Um Uh can we see a map of Covid vulnerability rank?,1,1
42,"Uh Ati, can I see a map of Covid vulnerability rank plus urban areas?",U2,VR,na,na,na,10,2,group10_task2.xlsx,41,10_2,10_2_U42,U1,Maybe louder.,Map of covid vulnerability rank,0,0
43,Map of covid vulnerability rank,S,NS,na,na,na,10,2,group10_task2.xlsx,42,10_2,10_2_U43,U2,"Uh Ati, can I see a map of Covid vulnerability rank plus urban areas?",Maybe louder.,0,0
