master_utterance_id,dialogue_id,speaker,utterance,utterance_intent,grounding_modality
10_2_U1,10_2,U1,"So Okay, for COVID-19 outbreaks.",N,na
10_2_U2,10_2,U1,Uh so what are the risk factors for COVID-19 outbreaks?,N,na
10_2_U3,10_2,U1,Uh definitely as we said before like big cities So urban areas.,N,na
10_2_U4,10_2,U2,Yeah.,N,na
10_2_U5,10_2,U2,"Okay, so can we see a chart about urban areas in US?",VR,na
10_2_U6,10_2,U2,"Ati, can we see a map of the urban areas in the US?",VR,na
10_2_U7,10_2,U1,"Maybe louder, I don't know.",N,na
10_2_U8,10_2,U2,Uh can we see a map about county type?,VR,na
10_2_U9,10_2,S,Map of county type,NS,na
10_2_U10,10_2,U1,Okay.,N,na
10_2_U11,10_2,U1,Uh so urban.,N,na
10_2_U12,10_2,U1,"Yeah, so the urban are the pink ones.",N,na
10_2_U13,10_2,U2,"Okay, so there's definitely more cities in the Pacific and then in the Northeast.",N,na
10_2_U14,10_2,U1,Yeah.,N,na
10_2_U15,10_2,U1,Also on the coast.,N,na
10_2_U16,10_2,U2,"Yes, and the cities uh maybe were the the ones that uh were more at risk.",N,na
10_2_U17,10_2,U2,And uh another fact that we can consider is um I don't know.... ,N,na
10_2_U18,10_2,U1,"Okay, yes.",N,na
10_2_U19,10_2,U2,Can we see a map of access to doctors?,VR,na
10_2_U20,10_2,U1,Maybe we'll okay.,N,na
10_2_U21,10_2,U1,"We can uh Yeah, we have an old one.",N,na
10_2_U22,10_2,U2,Yes.,N,na
10_2_U23,10_2,U2,Okay.,N,na
10_2_U24,10_2,U1,Which I think is not very expressive.,N,na
10_2_U25,10_2,U1,"Um Also, okay, African American population.",VR,na
10_2_U26,10_2,U1,Um So we can try combinations?,CR,K
10_2_U27,10_2,U2,Yes.,N,na
10_2_U28,10_2,U1,Uh So which are the interesting combinations do you think?,N,na
10_2_U29,10_2,U2,"Um I think that we can see uh a map Yeah, urban with um high vulnerability high Covid vulnerability.",Vis,na
10_2_U30,10_2,U1,"the same, same.",N,na
10_2_U31,10_2,U2,Okay so can we see a map about urban areas with high Covid vulnerability rank?,VR,na
10_2_U32,10_2,U1,Um I think.,N,na
10_2_U33,10_2,U1,Uh can we see urban areas with a very high Covid vulnerability rank?,VR,na
10_2_U34,10_2,U1,Let's try just uh can we see uh a map of the Midwest of the urban areas in the Midwest?,VR,na
10_2_U35,10_2,U2,Uh Can we see a map of uh urban areas with high vulnerability rank Covid?,VR,na
10_2_U36,10_2,U2,Do you have a map of urban areas with high Covid vulnerability rank?,VR,na
10_2_U37,10_2,U1,Uh can you show me a bar chart of urban with very high Covid vulnerability rank?,VR,na
10_2_U38,10_2,U1,"Oh, I don't know how to ask him.",N,na
10_2_U39,10_2,U2,Um Uh can we see a map of Covid vulnerability rank?,VR,na
10_2_U40,10_2,S,Map of covid vulnerability rank,NS,na
10_2_U41,10_2,U1,Maybe louder.,N,na
10_2_U42,10_2,U2,"Uh Ati, can I see a map of Covid vulnerability rank plus urban areas?",VR,na
10_2_U43,10_2,S,Map of covid vulnerability rank,NS,na
10_2_U44,10_2,U2,"Uh Ati, can I see a bar chart of Covid vulnerability rank plus urban areas?",VR,na
10_2_U45,10_2,S,Map of covid vulnerability rank,NS,na
10_2_U46,10_2,U1,Always Covid vulnerability rank.,N,na
10_2_U47,10_2,U2,Um Uh can we see a map of combination of suburban areas and high Covid vulnerability rank?,VR,na
10_2_U48,10_2,U2,What is not what is it?,N,na
10_2_U49,10_2,U1,Uh a social vulnerability.,VR,na
10_2_U50,10_2,U1,Okay.,N,na
10_2_U51,10_2,U1,"Okay, but close.",N,na
10_2_U52,10_2,U1,"Okay, so we cannot ask again.",CR,K
10_2_U53,10_2,U1,Okay.,N,na
10_2_U54,10_2,U1,Can I see a bar chart of county type versus uh the Covid vulnerability rank?,VR,na
10_2_U55,10_2,U1,How did you ask him this one?,CR,V
10_2_U56,10_2,U2,I don't remember.,N,na
10_2_U57,10_2,U2,Do you have a map of a combination of county type and Covid vulnerability rank?,CR,K
10_2_U58,10_2,S,Heatmap of county type vs social vulnerability rank  colored by num counties,NS,na
10_2_U59,10_2,U1,"Oh, it's really maps.",N,na
10_2_U60,10_2,U1,Okay.,N,na
10_2_U61,10_2,U2,"Okay, so we see social vulnerability.",N,na
10_2_U62,10_2,U1,But urban areas are always very vulnerable.,N,na
10_2_U63,10_2,U2,"Yeah, but what do you think it is social vulnerability?",CR,V
10_2_U64,10_2,U1,I don't know.,N,na
10_2_U65,10_2,U1,Yeah.,N,na
10_2_U66,10_2,U2,I don't know if social vulnerability affects the Covid outbreaks.,N,na
10_2_U67,10_2,U1,"Okay, negative effects on communities.",N,na
10_2_U68,10_2,U2,Okay.,N,na
10_2_U69,10_2,U1,Okay.,N,na
10_2_U70,10_2,U2,Uh can we have a combination of urban areas and Covid risk?,VR,na
10_2_U71,10_2,U1,Uh can we see a map of county type versus um Covid risk?,VR,na
10_2_U72,10_2,U2,"Uh okay, we can try other other combination maybe.",N,na
10_2_U73,10_2,U1,Um Uh can I see any uh okay.,N,na
10_2_U74,10_2,U1,Can I see a heat map of county type and uh Covid risk?,VR,na
10_2_U75,10_2,U1,Let's try something else like country type versus.,Vis,na
10_2_U76,10_2,U2,Yes.,N,na
10_2_U77,10_2,U1,"Oh, because we were saying combination before.",N,na
10_2_U78,10_2,U1,So maybe say combination.,N,na
10_2_U79,10_2,U1,Uh can I see a combination of county type and Covid risk?,VR,na
10_2_U80,10_2,U2,Maybe we cannot ask about Covid?,CR,K
10_2_U81,10_2,U1,He doesn't want us to show Covid.,N,na
10_2_U82,10_2,U1,Yeah.,N,na
10_2_U83,10_2,U1,Try uh Like maybe an insured rate.,Vis,na
10_2_U84,10_2,U2,"Yeah, or also access to doctors because uh maybe if uh you don't know how to I don't know.",Vis,na
10_2_U85,10_2,U1,Access  to doctors and and ?,CR,A
10_2_U86,10_2,U2,um I will say always uh county type.,N,na
10_2_U87,10_2,U1,Okay.,N,na
10_2_U88,10_2,U2,Uh do you have a map of the combination of county type and access to doctor?,VR,na
10_2_U89,10_2,S,Heatmap of county type vs access to doctors  colored by num counties,NS,na
10_2_U90,10_2,U1,Okay.,N,na
10_2_U91,10_2,U2,VR,N,na
10_2_U92,10_2,U1,"Okay, so very high access to doctor.",N,na
10_2_U93,10_2,U1,"Okay, rural.",N,na
10_2_U94,10_2,U2,"Yeah, always rural has some issues.",N,na
10_2_U95,10_2,U2,Um small cities.,N,na
10_2_U96,10_2,U1,Okay.,N,na
10_2_U97,10_2,U2,"It's like okay, which like like uh the fact is that rural has a very low access to doctor but also an high social vulnerability rank.",N,na
10_2_U98,10_2,U1,Yeah Also we can try the elderly percentage because maybe they live more in rural areas.,Vis,na
10_2_U99,10_2,U2,Yeah.,N,na
10_2_U100,10_2,U1,Um can we see a map of the combination county type and elderly percentage?,VR,na
10_2_U101,10_2,U1,Should you should ask him?,CR,K
10_2_U102,10_2,U2,I'm sorry to you.,N,na
10_2_U103,10_2,U2,Um Can we see a combination of elderly population and county type?,VR,na
